CSCO,"Cisco Systems Inc. (CSCO) Prices, Dividends, Splits and Trading Volume"
D,"Dominion Resources Inc (D) Prices, Dividends, Splits and Trading Volume"
CTAS,"Cintas Corp. (CTAS) Prices, Dividends, Splits and Trading Volume"
DD,"E.I. du Pont de Nemours and Co. (DD) Prices, Dividends, Splits and Trading Volume"
CTSH,"Cognizant Technology Solutions Corp. (CTSH) Prices, Dividends, Splits and Trading Volume"
CVC,"Cablevision Systems Corp. (CVC) Prices, Dividends, Splits and Trading Volume"
DGX,"Quest Diagnostics Inc. (DGX) Prices, Dividends, Splits and Trading Volume"
CVX,"Chevron Corporation (CVX) Prices, Dividends, Splits and Trading Volume"
DHR,"Danaher Corp. (DHR) Prices, Dividends, Splits and Trading Volume"
DAL,"Delta Air Lines Inc. (DE) (DAL) Prices, Dividends, Splits and Trading Volume"
DIS,"Disney (Walt) Co. (The) (DIS) Prices, Dividends, Splits and Trading Volume"
DLPH,"Delphi Automotive Plc (DLPH) Prices, Dividends, Splits and Trading Volume"
DE,"Deere & Co. (DE) Prices, Dividends, Splits and Trading Volume"
DFS,"Discover Financial Services (DFS) Prices, Dividends, Splits and Trading Volume"
DNB,"Dun & Bradstreet Corp (DE) (DNB) Prices, Dividends, Splits and Trading Volume"
DG,"Dollar General Corp (DG) Prices, Dividends, Splits and Trading Volume"
DO,"Diamond Offshore Drilling Inc. (DO) Prices, Dividends, Splits and Trading Volume"
DHI,"Horton (D.R.) Inc. (DHI) Prices, Dividends, Splits and Trading Volume"
DOW,"Dow Chemical Co. (DOW) Prices, Dividends, Splits and Trading Volume"
DISCA,"Discovery Communications Inc. (DISCA) Prices, Dividends, Splits and Trading Volume"
DTE,"DTE Energy Co. (DTE) Prices, Dividends, Splits and Trading Volume"
DLTR,"Dollar Tree Inc. (DLTR) Prices, Dividends, Splits and Trading Volume"
DTV,"DIRECTV (DTV) Prices, Dividends, Splits and Trading Volume"
DNR,"Denbury Resources Inc. (DNR) Prices, Dividends, Splits and Trading Volume"
DVA,"DaVita HealthCare Partners Inc (DVA) Prices, Dividends, Splits and Trading Volume"
DVN,"Devon Energy Corp. (DVN) Prices, Dividends, Splits and Trading Volume"
DOV,"Dover Corp (DOV) Prices, Dividends, Splits and Trading Volume"
EBAY,"eBay Inc. (EBAY) Prices, Dividends, Splits and Trading Volume"
DPS,"Dr Pepper Snapple Group Inc (DPS) Prices, Dividends, Splits and Trading Volume"
ECL,"Ecolab Inc. (ECL) Prices, Dividends, Splits and Trading Volume"
DRI,"Darden Restaurants Inc. (United States) (DRI) Prices, Dividends, Splits and Trading Volume"
ED,"Consolidated Edison Inc. (ED) Prices, Dividends, Splits and Trading Volume"
DUK,"Duke Energy Corp (DUK) Prices, Dividends, Splits and Trading Volume"
EMC,"EMC Corp. (MA) (EMC) Prices, Dividends, Splits and Trading Volume"
EMN,"Eastman Chemical Co. (EMN) Prices, Dividends, Splits and Trading Volume"
EA,"Electronic Arts Inc. (EA) Prices, Dividends, Splits and Trading Volume"
EMR,"Emerson Electric Co. (EMR) Prices, Dividends, Splits and Trading Volume"
EOG,"EOG Resources Inc. (EOG) Prices, Dividends, Splits and Trading Volume"
EQR,"Equity Residential (EQR) Prices, Dividends, Splits and Trading Volume"
EFX,"Equifax Inc. (EFX) Prices, Dividends, Splits and Trading Volume"
ESRX,"Express Scripts Holding Company (ESRX) Prices, Dividends, Splits and Trading Volume"
EIX,"Edison International (EIX) Prices, Dividends, Splits and Trading Volume"
EL,"Estee Lauder Cos. Inc. (The) (EL) Prices, Dividends, Splits and Trading Volume"
ETFC,"E*TRADE Financial Corporation (ETFC) Prices, Dividends, Splits and Trading Volume"
ETN,"Eaton Corp plc (ETN) Prices, Dividends, Splits and Trading Volume"
ETR,"Entergy Corp. (ETR) Prices, Dividends, Splits and Trading Volume"
EXC,"Exelon Corp. (EXC) Prices, Dividends, Splits and Trading Volume"
EQT,"EQT Corp. (EQT) Prices, Dividends, Splits and Trading Volume"
EXPE,"Expedia Inc (EXPE) Prices, Dividends, Splits and Trading Volume"
ESV,"Ensco plc (ESV) Prices, Dividends, Splits and Trading Volume"
FAST,"Fastenal Co. (FAST) Prices, Dividends, Splits and Trading Volume"
FB,"Facebook Inc. (FB) Prices, Dividends, Splits and Trading Volume"
FCX,"Freeport-McMoRan Inc (FCX) Prices, Dividends, Splits and Trading Volume"
EW,"Edwards Lifesciences Corp (EW) Prices, Dividends, Splits and Trading Volume"
EXPD,"Expeditors International of Washington Inc. (EXPD) Prices, Dividends, Splits and Trading Volume"
FE,"FirstEnergy Corp. (FE) Prices, Dividends, Splits and Trading Volume"
F,"Ford Motor Co. (DE) (F) Prices, Dividends, Splits and Trading Volume"
FISV,"Fiserv Inc. (FISV) Prices, Dividends, Splits and Trading Volume"
FDO,"Family Dollar Stores, Inc. (FDO) Prices, Dividends, Splits and Trading Volume"
FDX,"FedEx Corp (FDX) Prices, Dividends, Splits and Trading Volume"
FLS,"Flowserve Corp. (FLS) Prices, Dividends, Splits and Trading Volume"
FMC,"FMC Corp. (FMC) Prices, Dividends, Splits and Trading Volume"
FFIV,"F5 Networks Inc. (FFIV) Prices, Dividends, Splits and Trading Volume"
FOXA,"21st  Century Fox Inc (FOXA) Prices, Dividends, Splits and Trading Volume"
FIS,"Fidelity National Information Services Inc (FIS) Prices, Dividends, Splits and Trading Volume"
FRX,"Forest Laboratories, Inc. (FRX) Prices, Dividends, Splits and Trading Volume"
FITB,"Fifth Third Bancorp (Cincinnati OH) (FITB) Prices, Dividends, Splits and Trading Volume"
FTI,"FMC Technologies Inc. (FTI) Prices, Dividends, Splits and Trading Volume"
FLIR,"FLIR Systems Inc. (FLIR) Prices, Dividends, Splits and Trading Volume"
FLR,"Fluor Corp. (FLR) Prices, Dividends, Splits and Trading Volume"
GCI,"Gannett Co., Inc. (GCI) Prices, Dividends, Splits and Trading Volume"
FOSL,"Fossil Group, Inc. (FOSL) Prices, Dividends, Splits and Trading Volume"
GGP,"General Growth Properties Inc (GGP) Prices, Dividends, Splits and Trading Volume"
FSLR,"First Solar Inc. (FSLR) Prices, Dividends, Splits and Trading Volume"
FTR,"Frontier Communications Corp (FTR) Prices, Dividends, Splits and Trading Volume"
GAS,"AGL Resources Inc. (Holding Co.) (GAS) Prices, Dividends, Splits and Trading Volume"
GM,"General Motors Co. (GM) Prices, Dividends, Splits and Trading Volume"
GD,"General Dynamics Corp. (GD) Prices, Dividends, Splits and Trading Volume"
GE,"General Electric Co (GE) Prices, Dividends, Splits and Trading Volume"
GNW,"Genworth Financial Inc (GNW) Prices, Dividends, Splits and Trading Volume"
GOOG,"Alphabet Inc (GOOG) Prices, Dividends, Splits and Trading Volume"
GHC,"Graham Holdings Co. (GHC) Prices, Dividends, Splits and Trading Volume"
GILD,"Gilead Sciences Inc. (GILD) Prices, Dividends, Splits and Trading Volume"
GIS,"General Mills Inc. (GIS) Prices, Dividends, Splits and Trading Volume"
GRMN,"Garmin Ltd. (GRMN) Prices, Dividends, Splits and Trading Volume"
GLW,"Corning Inc. (GLW) Prices, Dividends, Splits and Trading Volume"
GS,"The Goldman Sachs Group Inc. (GS) Prices, Dividends, Splits and Trading Volume"
GWW,"Grainger (W.W.) Inc. (GWW) Prices, Dividends, Splits and Trading Volume"
GME,"GameStop Corp (GME) Prices, Dividends, Splits and Trading Volume"
HAL,"Halliburton Company (HAL) Prices, Dividends, Splits and Trading Volume"
GPC,"Genuine Parts Co. (GPC) Prices, Dividends, Splits and Trading Volume"
GPS,"Gap Inc. (GPS) Prices, Dividends, Splits and Trading Volume"
HCBK,"Hudson City Bancorp, Inc. (HCBK) Prices, Dividends, Splits and Trading Volume"
HCN,"Welltower Inc (HCN) Prices, Dividends, Splits and Trading Volume"
GT,"Goodyear Tire & Rubber Co. (GT) Prices, Dividends, Splits and Trading Volume"
HAR,"Harman International Industries Inc. (HAR) Prices, Dividends, Splits and Trading Volume"
HOG,"Harley-Davidson Inc (HOG) Prices, Dividends, Splits and Trading Volume"
HAS,"Hasbro Inc. (HAS) Prices, Dividends, Splits and Trading Volume"
HON,"Honeywell International Inc. (HON) Prices, Dividends, Splits and Trading Volume"
HBAN,"Huntington Bancshares Inc (HBAN) Prices, Dividends, Splits and Trading Volume"
HPQ,"Hewlett-Packard Co (HPQ) Prices, Dividends, Splits and Trading Volume"
HCP,"HCP Inc. (HCP) Prices, Dividends, Splits and Trading Volume"
HD,"Home Depot Inc (HD) Prices, Dividends, Splits and Trading Volume"
HRL,"Hormel Foods Corp. (HRL) Prices, Dividends, Splits and Trading Volume"
HES,"Hess Corp (HES) Prices, Dividends, Splits and Trading Volume"
HIG,"Hartford Financial Services Group Inc. (HIG) Prices, Dividends, Splits and Trading Volume"
HSP,"Hospira Inc (HSP) Prices, Dividends, Splits and Trading Volume"
HST,"Host Hotels & Resorts Inc (HST) Prices, Dividends, Splits and Trading Volume"
HOT,"Starwood Hotels & Resorts Worldwide Inc (HOT) Prices, Dividends, Splits and Trading Volume"
HP,"Helmerich & Payne Inc. (HP) Prices, Dividends, Splits and Trading Volume"
HUM,"Humana Inc. (HUM) Prices, Dividends, Splits and Trading Volume"
HRB,"H&R Block Inc (HRB) Prices, Dividends, Splits and Trading Volume"
ICE,"Intercontinental Exchange Inc. (ICE) Prices, Dividends, Splits and Trading Volume"
HRS,"Harris Corp. (HRS) Prices, Dividends, Splits and Trading Volume"
INTU,"Intuit Inc (INTU) Prices, Dividends, Splits and Trading Volume"
HSY,"Hershey Company (The) (HSY) Prices, Dividends, Splits and Trading Volume"
IPG,"Interpublic Group of Companies Inc. (IPG) Prices, Dividends, Splits and Trading Volume"
IR,"Ingersoll-Rand Plc (IR) Prices, Dividends, Splits and Trading Volume"
IBM,"International Business Machines Corp (IBM) Prices, Dividends, Splits and Trading Volume"
IFF,"Int'l. Flavors & Fragrances (IFF) Prices, Dividends, Splits and Trading Volume"
ISRG,"Intuitive Surgical Inc. (ISRG) Prices, Dividends, Splits and Trading Volume"
IGT,"International Game Technology PLC (IGT) Prices, Dividends, Splits and Trading Volume"
ITW,"Illinois Tool Works Inc. (ITW) Prices, Dividends, Splits and Trading Volume"
INTC,"Intel Corp (INTC) Prices, Dividends, Splits and Trading Volume"
JBL,"Jabil Circuit Inc. (JBL) Prices, Dividends, Splits and Trading Volume"
JCI,"Johnson Controls Inc (JCI) Prices, Dividends, Splits and Trading Volume"
IP,"International Paper Co (IP) Prices, Dividends, Splits and Trading Volume"
IRM,"Iron Mountain (IRM) Prices, Dividends, Splits and Trading Volume"
JNPR,"Juniper Networks Inc (JNPR) Prices, Dividends, Splits and Trading Volume"
IVZ,"Invesco Ltd (IVZ) Prices, Dividends, Splits and Trading Volume"
JWN,"Nordstrom Inc. (JWN) Prices, Dividends, Splits and Trading Volume"
JEC,"Jacobs Engineering Group Inc. (JEC) Prices, Dividends, Splits and Trading Volume"
KLAC,"KLA-Tencor Corp. (KLAC) Prices, Dividends, Splits and Trading Volume"
JNJ,"Johnson & Johnson (JNJ) Prices, Dividends, Splits and Trading Volume"
KMI,"Kinder Morgan Inc. (KMI) Prices, Dividends, Splits and Trading Volume"
JOY,"Joy Global Inc. (JOY) Prices, Dividends, Splits and Trading Volume"
KO,"Coca-Cola Co (The) (KO) Prices, Dividends, Splits and Trading Volume"
K,"Kellogg Co (K) Prices, Dividends, Splits and Trading Volume"
KR,"Kroger Co. (KR) Prices, Dividends, Splits and Trading Volume"
KEY,"KeyCorp (KEY) Prices, Dividends, Splits and Trading Volume"
KIM,"Kimco Realty Corp. (KIM) Prices, Dividends, Splits and Trading Volume"
KSU,"Kansas City Southern (KSU) Prices, Dividends, Splits and Trading Volume"
KMB,"Kimberly-Clark Corp. (KMB) Prices, Dividends, Splits and Trading Volume"
KMX,"CarMax Inc. (KMX) Prices, Dividends, Splits and Trading Volume"
LEN,"Lennar Corp. (LEN) Prices, Dividends, Splits and Trading Volume"
KORS,"Michael Kors Holdings (KORS) Prices, Dividends, Splits and Trading Volume"
LH,"Laboratory Corp. of America Holdings (LH) Prices, Dividends, Splits and Trading Volume"
KRFT,"Kraft Foods Group, Inc. (KRFT) Prices, Dividends, Splits and Trading Volume"
KSS,"Kohl's Corp. (KSS) Prices, Dividends, Splits and Trading Volume"
LLL,"L-3 Communications Holdings Inc. (LLL) Prices, Dividends, Splits and Trading Volume"
L,"Loews Corp. (L) Prices, Dividends, Splits and Trading Volume"
LB,"L Brands Inc (LB) Prices, Dividends, Splits and Trading Volume"
LM,"Legg Mason Inc. (LM) Prices, Dividends, Splits and Trading Volume"
LEG,"Leggett & Platt Inc. (LEG) Prices, Dividends, Splits and Trading Volume"
LMT,"Lockheed Martin Corp. (LMT) Prices, Dividends, Splits and Trading Volume"
LO,"Lorillard, Inc (LO) Prices, Dividends, Splits and Trading Volume"
LIFE,"Life Technologies (LIFE) Prices, Dividends, Splits and Trading Volume"
LLTC,"Linear Technology Corp. (LLTC) Prices, Dividends, Splits and Trading Volume"
LLY,"Lilly (Eli) & Co. (LLY) Prices, Dividends, Splits and Trading Volume"
LUK,"Leucadia National Corp. (LUK) Prices, Dividends, Splits and Trading Volume"
LNC,"Lincoln National Corp. (LNC) Prices, Dividends, Splits and Trading Volume"
M,"Macys Inc. (M) Prices, Dividends, Splits and Trading Volume"
MA,"MasterCard  Cl A (MA) Prices, Dividends, Splits and Trading Volume"
LOW,"Lowes Cos. (LOW) Prices, Dividends, Splits and Trading Volume"
MAC,"Macerich Co. (The) (MAC) Prices, Dividends, Splits and Trading Volume"
LRCX,"Lam Research Corp (LRCX) Prices, Dividends, Splits and Trading Volume"
LSI,"LSI Corporation (LSI) Prices, Dividends, Splits and Trading Volume"
MAS,"Masco Corp. (MAS) Prices, Dividends, Splits and Trading Volume"
LUV,"Southwest Airlines Co (LUV) Prices, Dividends, Splits and Trading Volume"
MCD,"McDonald's Corp (MCD) Prices, Dividends, Splits and Trading Volume"
LYB,"LyondellBasell Industries NV (LYB) Prices, Dividends, Splits and Trading Volume"
MCK,"McKesson Corp. (MCK) Prices, Dividends, Splits and Trading Volume"
MCO,"Moody's Corp. (MCO) Prices, Dividends, Splits and Trading Volume"
MAR,"Marriott International Inc. (MAR) Prices, Dividends, Splits and Trading Volume"
MDT,"Medtronic PLC (MDT) Prices, Dividends, Splits and Trading Volume"
MAT,"Mattel Inc (MAT) Prices, Dividends, Splits and Trading Volume"
MCHP,"MicroChip Technology Inc. (MCHP) Prices, Dividends, Splits and Trading Volume"
MJN,"Mead Johnson Nutrition Co (MJN) Prices, Dividends, Splits and Trading Volume"
MMC,"Marsh & McLennan Cos. (MMC) Prices, Dividends, Splits and Trading Volume"
MDLZ,"Mondelez International Inc (MDLZ) Prices, Dividends, Splits and Trading Volume"
MMM,"3M Co (MMM) Prices, Dividends, Splits and Trading Volume"
MNST,"Monster Beverage Corp (MNST) Prices, Dividends, Splits and Trading Volume"
MET,"MetLife Inc (MET) Prices, Dividends, Splits and Trading Volume"
MON,"Monsanto Co. (MON) Prices, Dividends, Splits and Trading Volume"
MHFI,"McGraw Hill Financial Inc. (MHFI) Prices, Dividends, Splits and Trading Volume"
MHK,"Mohawk Industries Inc. (MHK) Prices, Dividends, Splits and Trading Volume"
MPC,"Marathon Petroleum Corp. (MPC) Prices, Dividends, Splits and Trading Volume"
MKC,"McCormick & Co. Inc. (MKC) Prices, Dividends, Splits and Trading Volume"
MRO,"Marathon Oil Corp. (MRO) Prices, Dividends, Splits and Trading Volume"
MSI,"Motorola Solutions Inc. (MSI) Prices, Dividends, Splits and Trading Volume"
MO,"Altria Group Inc (MO) Prices, Dividends, Splits and Trading Volume"
MU,"Micron Technology Inc. (MU) Prices, Dividends, Splits and Trading Volume"
MOS,"Mosaic Company (The) (MOS) Prices, Dividends, Splits and Trading Volume"
MWV,"Meadwestvaco Corporation (MWV) Prices, Dividends, Splits and Trading Volume"
MRK,"Merck & Co. Inc (MRK) Prices, Dividends, Splits and Trading Volume"
NBL,"Noble Energy Inc. (NBL) Prices, Dividends, Splits and Trading Volume"
MS,"Morgan Stanley (MS) Prices, Dividends, Splits and Trading Volume"
MSFT,"Microsoft Corporation (MSFT) Prices, Dividends, Splits and Trading Volume"
NDAQ,"Nasdaq Inc (NDAQ) Prices, Dividends, Splits and Trading Volume"
MTB,"M & T Bank Corp (MTB) Prices, Dividends, Splits and Trading Volume"
NEE,"NextEra Energy Inc (NEE) Prices, Dividends, Splits and Trading Volume"
MUR,"Murphy Oil Corp (MUR) Prices, Dividends, Splits and Trading Volume"
NFLX,"Netflix Inc. (NFLX) Prices, Dividends, Splits and Trading Volume"
MYL,"Mylan NV (MYL) Prices, Dividends, Splits and Trading Volume"
NI,"NiSource Inc (NI) Prices, Dividends, Splits and Trading Volume"
NBR,"Nabors Industries Ltd. (NBR) Prices, Dividends, Splits and Trading Volume"
NLSN,"Nielsen Holdings PLC (NLSN) Prices, Dividends, Splits and Trading Volume"
NE,"Noble Corporation (NE) Prices, Dividends, Splits and Trading Volume"
NOV,"National Oilwell Varco Inc (NOV) Prices, Dividends, Splits and Trading Volume"
NEM,"Newmont Mining Corp. (Holding Co.) (NEM) Prices, Dividends, Splits and Trading Volume"
NSC,"Norfolk Southern Corp. (NSC) Prices, Dividends, Splits and Trading Volume"
NFX,"Newfield Exploration Co. (NFX) Prices, Dividends, Splits and Trading Volume"
NTRS,"Northern Trust Corp. (NTRS) Prices, Dividends, Splits and Trading Volume"
NKE,"NIKE Inc (NKE) Prices, Dividends, Splits and Trading Volume"
NUE,"Nucor Corp. (NUE) Prices, Dividends, Splits and Trading Volume"
NOC,"Northrop Grumman Corp (NOC) Prices, Dividends, Splits and Trading Volume"
NWL,"Newell Rubbermaid Inc. (NWL) Prices, Dividends, Splits and Trading Volume"
NRG,"NRG Energy Inc (NRG) Prices, Dividends, Splits and Trading Volume"
OI,"Owens-Illinois Inc. (OI) Prices, Dividends, Splits and Trading Volume"
NTAP,"NetApp Inc. (NTAP) Prices, Dividends, Splits and Trading Volume"
OMC,"Omnicom Group Inc. (OMC) Prices, Dividends, Splits and Trading Volume"
NU,"Northeast Utilities (NU) Prices, Dividends, Splits and Trading Volume"
